X,Y,objectid,globalid,CreationDate,Creator,EditDate,Editor,date_updated,under_19,_20_39,_40_49,_50_59,_60_69,_70_100,percent_female,percent_male,prov_join_field
-57.9460859,48.9438592,57,8fbf374a-299f-42a8-8ff9-e7a60db1468a,2020/11/15 17:59:43.782+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/15 15:30:00+00,27,56,47,64,62,47,0,0,NL
0,0,58,f78b4e5e-7dcd-45f3-8116-42ec9f1eae8c,2020/11/17 17:54:10.408+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/17 15:30:00+00,27,56,48,65,62,47,0,0,NL
0,0,59,beae989e-2bf9-47de-9106-7953047e3b80,2020/11/18 18:00:17.152+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/18 15:30:00+00,27,56,49,65,62,48,0,0,NL
0,0,60,856c8fe0-882f-4d61-a111-2f6d37fbfb28,2020/11/19 17:34:44.651+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/19 15:30:00+00,27,56,49,65,62,49,0,0,NL
-53.9511942,47.9459723,61,810417e1-04b5-4b08-9c8b-a5ab33630d4d,2020/11/20 18:10:18.539+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/20 15:30:00+00,27,57,50,65,62,50,0,0,NL
-52.8071203,47.5007058,62,ddd7688c-3d5c-472a-8fa8-d24ac3f475bb,2020/11/21 18:03:06.074+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/21 15:30:00+00,28,58,51,66,62,51,0,0,NL
-52.8323862,47.5078543,63,8d02322d-ef23-46ee-b9bf-834098cf6085,2020/11/22 17:52:27.894+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/22 15:30:00+00,28,59,52,66,63,51,0,0,NL
-54.616588,48.9499594,64,a459f7b2-1f61-490e-b6ce-e33f000dd81e,2020/11/23 19:05:16.406+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/23 15:30:00+00,29,60,52,66,63,51,0,0,NL
0,0,65,d3e85786-f809-474f-9b47-5fff4683951f,2020/11/24 17:41:12.317+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/24 15:30:00+00,29,60,52,66,64,52,0,0,NL
0,0,66,1085bb5d-f9a9-41a3-83b5-d4f565b3b709,2020/11/25 17:35:21.781+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/25 15:30:00+00,29,60,53,66,64,52,0,0,NL
0,0,67,29bd591e-7a0d-48cc-8a27-99e99e9b4499,2020/11/26 17:39:57.168+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/26 15:30:00+00,30,62,53,66,64,52,0,0,NL
0,0,68,a2e4f43b-0c04-441b-ab3b-cb600ed6b94d,2020/11/27 17:44:54.430+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/27 15:30:00+00,30,62,54,68,65,52,0,0,NL
-57.9246829,48.9457665,69,781604a2-6f3f-469b-a46e-5305545edb3f,2020/11/28 17:44:55.919+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/28 15:30:00+00,30,62,54,69,66,52,0,0,NL
-57.9246538,48.9457801,70,74e3f14e-f374-4c69-a72d-7b19879ef4e0,2020/11/29 18:05:50.190+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/29 15:30:00+00,30,64,55,70,66,52,0,0,NL
