X,Y,objectid,globalid,CreationDate,Creator,EditDate,Editor,date_updated,under_19,_20_39,_40_49,_50_59,_60_69,_70_100,percent_female,percent_male,prov_join_field
0,0,84,f84c1a4b-02bf-4ddd-8eb2-ced0815de7dd,2020/12/16 18:12:59.775+00,phearns,2020/12/16 18:12:59.775+00,phearns,2020/12/16 15:30:00+00,32,77,61,74,68,52,50,50,NL
0,0,85,8b8033a3-8739-49da-9c19-8076c634cba0,2020/12/17 17:49:17.255+00,phearns,2020/12/17 17:49:17.255+00,phearns,2020/12/17 15:30:00+00,32,79,61,74,69,52,50,50,NL
0,0,86,214bb588-9c65-42e5-a8d8-b0e042560499,2020/12/18 17:41:58.440+00,phearns,2020/12/18 17:41:58.440+00,phearns,2020/12/18 15:30:00+00,33,81,63,74,69,52,49,51,NL
-57.9245459,48.9456994,87,52151f3e-776d-4dea-b9e9-13f64a939019,2020/12/19 17:48:51.032+00,phearns,2020/12/19 17:48:51.032+00,phearns,2020/12/19 15:30:00+00,33,84,66,76,69,52,48,52,NL
-57.9246526,48.9457199,88,31d8dc95-e698-41f9-a114-1d5f67db58fc,2020/12/20 17:34:09.044+00,phearns,2020/12/20 17:34:09.044+00,phearns,2020/12/20 15:30:00+00,33,84,66,78,69,52,48,52,NL
0,0,89,8035a852-c6a8-463b-937e-ffdadfae2329,2020/12/22 17:37:37.789+00,phearns,2020/12/22 17:37:37.789+00,phearns,2020/12/22 15:30:00+00,33,85,66,78,69,52,48,52,NL
0,0,90,446bba81-e3e0-4adc-987d-0d2ac0acbcde,2020/12/23 17:36:55.090+00,phearns,2020/12/23 18:06:35.844+00,phearns,2020/12/23 15:30:00+00,34,84,47,78,69,52,48,52,NL
-57.924589,48.9457304,91,f4857379-7580-4524-bb90-53e212958d8a,2020/12/27 17:32:59.907+00,phearns,2020/12/27 17:32:59.907+00,phearns,2020/12/27 15:30:00+00,34,85,68,79,69,52,48,52,NL
-57.9246624,48.9457217,92,45e69ca6-4f29-4ed1-b37a-70a6bc48d292,2020/12/28 17:36:44.698+00,phearns,2020/12/28 17:36:44.698+00,phearns,2020/12/28 15:30:00+00,34,87,68,79,69,52,48,52,NL
-57.924606,48.9456964,93,e7e699bf-ba03-4f6c-a13c-3243c2c5a95c,2020/12/29 17:50:55.559+00,phearns,2020/12/29 17:50:55.559+00,phearns,2020/12/29 15:30:00+00,34,87,69,79,69,52,48,52,NL
0,0,94,c469dd73-bb17-4b59-b0a3-d3e52ad82bfe,2021/01/04 17:39:08.053+00,phearns,2021/01/04 17:39:08.053+00,phearns,2021/01/04 15:30:00+00,34,88,69,79,69,52,48,52,NL
0,0,95,1d1717b4-997b-442c-8236-702e3c164776,2021/01/05 17:36:48.574+00,phearns,2021/01/05 17:36:48.574+00,phearns,2021/01/05 15:30:00+00,34,89,69,79,69,52,47,53,NL
-57.9245767,48.9457344,96,1748df84-ae5e-4808-b1b3-62f0bacfab91,2021/01/10 17:45:11.992+00,phearns,2021/01/11 16:06:48.279+00,phearns,2021/01/10 15:30:00+00,36,88,69,79,69,52,47,53,NL
0,0,97,adc63e05-c6eb-4b42-8d4c-9920aab748af,2021/01/14 18:02:04.886+00,phearns,2021/01/14 18:02:04.886+00,phearns,2021/01/14 15:30:00+00,36,89,69,79,69,52,47,53,NL
0,0,98,1f15088d-e752-4ba7-ad5a-0da4bd7fdc0a,2021/01/15 17:36:33.421+00,phearns,2021/01/15 17:36:33.421+00,phearns,2021/01/15 15:30:00+00,36,90,69,79,69,52,47,53,NL
-57.9245096,48.9457225,99,19cf031e-b123-44c2-b1f0-d5ddc4d38e2e,2021/01/17 17:36:31.083+00,phearns,2021/01/17 17:36:31.083+00,phearns,2021/01/17 15:30:00+00,36,91,69,79,69,52,47,53,NL
0,0,100,6b8d5929-14b7-4e54-9762-4dbf425ffca8,2021/01/21 17:37:12.809+00,phearns,2021/01/21 17:37:12.809+00,phearns,2021/01/21 15:30:00+00,36,91,69,79,70,52,47,53,NL
0,0,101,2434977a-e0c3-4bf9-bc4b-c5a11f980b9d,2021/01/22 17:48:08.667+00,phearns,2021/01/22 17:48:08.667+00,phearns,2021/01/22 15:30:00+00,36,92,69,79,70,52,47,53,NL
0,0,102,83c74989-d556-4d08-966e-1ba422b02556,2021/01/27 17:44:19.230+00,phearns,2021/01/27 17:44:19.230+00,phearns,2021/01/27 15:30:00+00,36,94,69,79,70,52,47,53,NL
0,0,103,65e0ff61-6ffb-442b-bf67-3b6d0f1e1cff,2021/01/28 18:21:56.912+00,phearns,2021/01/28 18:21:56.912+00,phearns,2021/01/28 15:30:00+00,36,97,70,79,70,52,47,53,NL
0,0,104,396864dd-210c-4a04-85e3-32389547f5d8,2021/01/29 16:36:34.761+00,phearns,2021/01/29 16:36:34.761+00,phearns,2021/01/29 15:30:00+00,38,98,71,79,70,52,47,53,NL
0,0,105,bf0a0aa7-77be-4c7f-b208-8afe1e8452dc,2021/02/03 17:38:11.842+00,phearns,2021/02/03 17:38:11.842+00,phearns,2021/02/03 15:30:00+00,38,98,71,80,71,52,47,53,NL
0,0,106,2af60ec4-b927-4db2-9df5-95e107579b5e,2021/02/04 17:36:02.787+00,phearns,2021/02/04 17:36:02.787+00,phearns,2021/02/04 15:30:00+00,39,98,71,80,71,52,47,53,NL
0,0,107,0e81895b-b641-46d0-94de-468998952dd5,2021/02/05 17:30:47.625+00,phearns,2021/02/05 17:30:47.625+00,phearns,2021/02/05 15:30:00+00,39,98,71,81,71,52,47,53,NL
-57.9245537,48.945729,108,a61aa758-7269-4a65-bbb4-a13823373748,2021/02/06 17:59:29.495+00,phearns,2021/02/06 17:59:29.495+00,phearns,2021/02/06 15:30:00+00,39,100,72,81,71,52,47,53,NL
-57.9245521,48.9457424,109,82a6c2f4-24b6-4e7c-aa14-ce0ae1d71d36,2021/02/07 20:33:10.988+00,phearns,2021/02/07 20:33:10.988+00,phearns,2021/02/07 15:30:00+00,40,100,72,81,71,52,47,53,NL
0,0,110,ef5f6c27-64c3-4396-8340-9ec860af9f57,2021/02/08 17:43:39.637+00,phearns,2021/02/08 17:43:39.637+00,phearns,2021/02/08 15:30:00+00,45,100,76,82,71,53,48,52,NL
0,0,111,de108020-62f3-4022-b093-48694950e522,2021/02/09 18:15:02.145+00,phearns,2021/02/10 11:50:21.694+00,phearns,2021/02/09 15:30:00+00,59,102,81,88,72,55,49,51,NL
0,0,112,9063d08b-3a9a-410e-aa9d-1cc000cb3da8,2021/02/10 19:07:52.438+00,phearns,2021/02/10 19:07:52.438+00,phearns,2021/02/10 15:30:00+00,103,106,85,89,72,55,50,50,NL
-52.8072273,47.5007296,113,99020b9c-dee8-4413-902d-1f908c8266d0,2021/02/11 19:13:33.351+00,phearns,2021/02/11 19:39:17.870+00,phearns,2021/02/11 15:30:00+00,177,116,89,95,74,59,49,51,NL
-52.8072538,47.5007154,114,0c360baf-ffe4-497b-964a-39a37edf4439,2021/02/11 19:14:30.133+00,phearns,2021/02/11 19:14:30.133+00,phearns,2021/02/11 15:30:00+00,177,116,89,95,74,59,49,51,NL
-56.0339453,48.9805618,115,186c9075-5c08-41e4-b85b-9719113e5f93,2021/02/12 18:07:43.921+00,phearns,2021/02/12 18:07:43.921+00,phearns,2021/02/12 15:30:00+00,197,122,105,99,76,61,49,51,NL
-57.9245566,48.9457175,116,fa5218a7-e506-4c1c-b71e-1a840c8de629,2021/02/13 17:40:06.726+00,phearns,2021/02/13 17:40:06.726+00,phearns,2021/02/13 15:30:00+00,206,124,114,99,79,64,49,51,NL
-57.9247136,48.9457295,117,7643838e-ea04-44ee-bcdf-6fc358828a54,2021/02/14 17:31:22.853+00,phearns,2021/02/14 17:31:22.853+00,phearns,2021/02/14 15:30:00+00,209,127,116,102,79,64,49,51,NL
0,0,118,340fd60e-7b49-4b1c-b08d-3a656534e59b,2021/02/15 18:24:23.125+00,phearns,2021/02/15 18:24:23.125+00,phearns,2021/02/15 15:30:00+00,210,127,117,103,81,66,49,51,NL
0,0,119,826a69a2-5226-4032-a3a7-29a4d0bb7288,2021/02/16 17:41:18.436+00,phearns,2021/02/16 17:41:18.436+00,phearns,2021/02/16 15:30:00+00,212,128,119,104,81,67,49,51,NL
0,0,120,0fe73885-2735-4dc9-9c38-df3169d2aa30,2021/02/17 17:57:16.499+00,phearns,2021/02/17 17:57:16.499+00,phearns,2021/02/17 15:30:00+00,226,136,128,109,87,69,50,50,NL
