X,Y,objectid,globalid,prov,regional_health_authority,date_updated,total_number_of_cases,new_cases,currently_hospitalized,current_in_icu,total_number_recovered,total_number_of_deaths,active_cases,total_people_tested,Population,CasesPer10KPop,CreationDate,Creator,EditDate,Editor
-57.9245134,48.9457211000001,1176,{A496B4FD-2FC6-4ADD-9490-7CD9455D5EBF},NL,western_rha,2021/01/17 17:18:00+00,29,0,0,0,28,1,0,10347,0.7734,37.4967675200414,2021/01/17 17:36:21+00,phearns,2021/01/17 17:36:21+00,phearns
-57.9245119999999,48.9457212,1177,{BAA77439-1852-45E6-998F-E56BF4258EBE},NL,labradorgrenfell_rha,2021/01/17 17:18:00+00,7,0,0,0,7,0,0,4409,0.4005,17.478152309613,2021/01/17 17:36:22+00,phearns,2021/01/17 17:36:22+00,phearns
0.0,0.0,1178,{20A11F68-06B2-4AD2-85B2-6522C4D089DE},NL,eastern_rha,2021/01/18 17:39:00+00,325,0,1,1,313,3,6,51345,3.1313,103.79075783221,2021/01/18 17:41:02+00,phearns,2021/01/18 17:41:02+00,phearns
0.0,0.0,1179,{7DDE225B-7F1D-42DA-95FB-E249CF6E9F00},NL,central_rha,2021/01/18 17:40:00+00,35,0,0,0,35,0,0,10362,0.9276,37.7317809400604,2021/01/18 17:41:03+00,phearns,2021/01/18 17:41:03+00,phearns
0.0,0.0,1180,{CEFBF313-248A-45F0-8A68-CEDFB6A5730E},NL,western_rha,2021/01/18 17:40:00+00,29,0,0,0,28,1,0,10365,0.7734,37.4967675200414,2021/01/18 17:41:03+00,phearns,2021/01/18 17:41:03+00,phearns
0.0,0.0,1181,{FB5AC2EF-FC33-4EB6-990C-36DA53E7ED5C},NL,labradorgrenfell_rha,2021/01/18 17:40:00+00,7,0,0,0,7,0,0,4420,0.4005,17.478152309613,2021/01/18 17:41:04+00,phearns,2021/01/18 17:41:04+00,phearns
0.0,0.0,1182,{2DFB6D4F-7944-4EF7-988E-E1BCCE32BCB5},NL,eastern_rha,2021/01/19 17:29:00+00,325,0,1,1,314,3,5,51547,3.1313,103.79075783221,2021/01/19 17:34:44+00,phearns,2021/01/19 17:34:44+00,phearns
0.0,0.0,1183,{44FE90B6-567C-4BF8-AAC2-A01FEA7BE929},NL,central_rha,2021/01/19 17:29:00+00,35,0,0,0,35,0,0,10377,0.9276,37.7317809400604,2021/01/19 17:34:44+00,phearns,2021/01/19 17:34:44+00,phearns
0.0,0.0,1184,{7A9C5D9B-2204-4D7B-A943-7EC4A449DFEE},NL,western_rha,2021/01/19 17:29:00+00,29,0,0,0,28,1,0,10396,0.7734,37.4967675200414,2021/01/19 17:34:45+00,phearns,2021/01/19 17:34:45+00,phearns
0.0,0.0,1185,{D01B9BB1-6B5E-4789-A443-71D70BE6D2BE},NL,labradorgrenfell_rha,2021/01/19 17:29:59+00,7,0,0,0,7,0,0,4420,0.4005,17.478152309613,2021/01/19 17:34:45+00,phearns,2021/01/19 17:34:45+00,phearns
0.0,0.0,1186,{BADD5555-8819-4625-A1DC-CBB163B55EBF},NL,eastern_rha,2021/01/20 17:41:00+00,325,0,1,1,314,3,5,51692,3.1313,103.79075783221,2021/01/20 17:43:08+00,phearns,2021/01/20 17:43:08+00,phearns
0.0,0.0,1187,{6180DA1B-775B-4D9E-988B-469AED6FE5BD},NL,central_rha,2021/01/20 17:41:00+00,35,0,0,0,35,0,0,10412,0.9276,37.7317809400604,2021/01/20 17:43:10+00,phearns,2021/01/20 17:43:10+00,phearns
0.0,0.0,1188,{1C46FED2-EDC0-4FE7-83D1-EBA40D3ACDAE},NL,labradorgrenfell_rha,2021/01/20 17:42:00+00,7,0,0,0,7,0,0,4437,0.4005,17.478152309613,2021/01/20 17:43:19+00,phearns,2021/01/20 17:43:19+00,phearns
0.0,0.0,1189,{58929668-F97F-426C-9289-EC3B753B2834},NL,western_rha,2021/01/20 17:42:00+00,29,0,0,0,28,1,0,10428,0.7734,37.4967675200414,2021/01/20 17:43:36+00,phearns,2021/01/20 17:43:36+00,phearns
